product_user_id,account_id,email,role,plan_tier,signup_date,last_active_date,is_active
1,154,uma.quinn@acmeinc.com,editor,starter,2024-06-01,2025-01-21,False
2,364,vince.evans@optimasolutions.com,admin,starter,2024-08-11,2025-02-20,True
3,243,mia.rivera@zenithdigital.com,admin,enterprise,2023-10-09,2025-02-11,True
4,124,ivy.kim@vertexholdings.com,viewer,free,2024-06-07,2025-02-28,False
5,927,ivy.ingram@apexservices.com,viewer,enterprise,2023-12-26,2025-02-12,True
6,596,frank.hall@fusionsolutions.com,editor,professional,2023-09-27,2025-02-14,True
7,529,bob.adams@nexusplatforms.com,viewer,starter,2021-09-01,2025-02-10,True
8,321,mia.park@horizonlabs.com,viewer,professional,2024-04-25,2025-02-12,True
9,453,xander.clark@nexusholdings.com,admin,professional,2024-02-13,2024-08-08,False
10,827,quinn.hall@fusionsoftware.com,editor,starter,2021-12-22,2022-03-03,False
11,723,hank.hall@nexusdigital.com,viewer,enterprise,2023-10-16,2025-02-07,True
12,513,bob.ingram@novasoftware.com,editor,enterprise,2023-12-24,2025-02-15,True
13,926,mia.miller@synergyinc.com,viewer,enterprise,2024-09-30,2025-01-30,True
14,956,,viewer,free,2024-02-07,2024-05-07,False
15,39,grace.ingram@acmesoftware.com,admin,professional,2024-11-19,2025-02-07,True
16,105,frank.lopez@fusionpartners.com,editor,starter,2025-02-13,2025-02-07,True
17,98,ivy.clark@velocitysolutions.com,editor,free,2023-04-12,2024-01-21,False
18,735,hank.taylor@apexdynamics.com,viewer,professional,2023-10-18,2023-10-27,False
19,180,xander.hall@quantumdigital.com,editor,professional,2024-11-03,2024-11-15,False
20,972,karen.lopez@vertexholdings.com,editor,professional,2023-09-05,2025-02-21,True
21,216,hank.taylor@acmeenterprises.com,admin,professional,2024-12-21,2025-02-23,True
22,266,eve.owens@summitenterprises.com,viewer,professional,2024-03-03,2025-02-11,True
23,632,grace.kim@optimasolutions.com,editor,professional,2023-11-28,2025-02-22,True
24,795,bob.taylor@vertextechnologies.com,editor,professional,2025-02-23,2025-02-04,True
25,825,wendy.miller@apexenterprises.com,admin,free,2023-03-14,2023-08-20,False
26,125,tina.rivera@acmeplatforms.com,editor,professional,2022-04-19,2022-05-30,False
27,30,quinn.hall@fusionnetworks.com,viewer,free,2024-07-06,2025-02-20,True
28,539,frank.clark@summitsystems.com,viewer,starter,2021-06-04,2025-02-12,True
29,710,,editor,starter,2024-11-13,2025-02-05,True
30,140,steve.jones@velocityenterprises.com,editor,starter,2024-09-23,2025-02-14,True
31,469,hank.evans@pacificsoftware.com,editor,starter,2024-11-05,2025-02-28,False
32,608,paul.park@nexusservices.com,editor,professional,2024-04-25,2025-02-13,True
33,971,uma.davis@novaenterprises.com,editor,enterprise,2023-07-23,2025-02-05,True
34,825,dan.foster@apexenterprises.com,admin,free,2023-03-01,2023-12-01,False
35,953,bob.lopez@pinnacledigital.com,viewer,professional,2022-06-05,2025-01-30,True
36,775,steve.smith@nexuspartners.com,admin,starter,2024-10-16,2025-02-21,True
37,712,bob.kim@vertexsolutions.com,editor,free,2021-05-08,2025-01-30,True
38,983,tina.jones@atlasdynamics.com,viewer,free,2022-11-03,2023-08-21,False
39,934,leo.jones@elevateservices.com,admin,starter,2022-04-23,2025-02-21,True
40,817,alice.rivera@apexservices.com,editor,professional,2023-01-01,2025-02-12,True
41,404,quinn.rivera@catalysttechnologies.com,editor,professional,2024-06-10,2025-02-19,True
42,63,mia.rivera@quantumdynamics.com,viewer,starter,2024-05-09,2025-01-14,False
43,701,grace.clark@globalservices.com,admin,professional,2024-02-04,2025-02-13,True
